"syn","mis","non","spl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t","t*wmis","t*wnon","t*wspl"
"t*tstv","t*tstv*wmis","t*tstv*wnon","t*tstv*wspl"
"t","t*wmis","t*wnon","t*wspl"
