"syn","mis","non","spl"
"t*AGA>ATA","t*AGA>ATA*wmis","t*AGA>ATA*wnon","t*AGA>ATA*wspl"
"t*AGC>AAC","t*AGC>AAC*wmis","t*AGC>AAC*wnon","t*AGC>AAC*wspl"
"t*AGC>ACC","t*AGC>ACC*wmis","t*AGC>ACC*wnon","t*AGC>ACC*wspl"
"t*AGC>ATC","t*AGC>ATC*wmis","t*AGC>ATC*wnon","t*AGC>ATC*wspl"
"t*AGG>AAG","t*AGG>AAG*wmis","t*AGG>AAG*wnon","t*AGG>AAG*wspl"
"t*AGG>ACG","t*AGG>ACG*wmis","t*AGG>ACG*wnon","t*AGG>ACG*wspl"
"t*AGG>ATG","t*AGG>ATG*wmis","t*AGG>ATG*wnon","t*AGG>ATG*wspl"
"t*AGT>AAT","t*AGT>AAT*wmis","t*AGT>AAT*wnon","t*AGT>AAT*wspl"
"t*AGT>ACT","t*AGT>ACT*wmis","t*AGT>ACT*wnon","t*AGT>ACT*wspl"
"t*AGT>ATT","t*AGT>ATT*wmis","t*AGT>ATT*wnon","t*AGT>ATT*wspl"
"t*ATA>AAA","t*ATA>AAA*wmis","t*ATA>AAA*wnon","t*ATA>AAA*wspl"
"t*ATA>ACA","t*ATA>ACA*wmis","t*ATA>ACA*wnon","t*ATA>ACA*wspl"
"t*ATA>AGA","t*ATA>AGA*wmis","t*ATA>AGA*wnon","t*ATA>AGA*wspl"
"t*ATC>AAC","t*ATC>AAC*wmis","t*ATC>AAC*wnon","t*ATC>AAC*wspl"
"t*ATC>ACC","t*ATC>ACC*wmis","t*ATC>ACC*wnon","t*ATC>ACC*wspl"
"t*ATC>AGC","t*ATC>AGC*wmis","t*ATC>AGC*wnon","t*ATC>AGC*wspl"
"t*ATG>AAG","t*ATG>AAG*wmis","t*ATG>AAG*wnon","t*ATG>AAG*wspl"
"t*ATG>ACG","t*ATG>ACG*wmis","t*ATG>ACG*wnon","t*ATG>ACG*wspl"
"t*ATG>AGG","t*ATG>AGG*wmis","t*ATG>AGG*wnon","t*ATG>AGG*wspl"
"t*ATT>AAT","t*ATT>AAT*wmis","t*ATT>AAT*wnon","t*ATT>AAT*wspl"
"t*ATT>ACT","t*ATT>ACT*wmis","t*ATT>ACT*wnon","t*ATT>ACT*wspl"
"t*ATT>AGT","t*ATT>AGT*wmis","t*ATT>AGT*wnon","t*ATT>AGT*wspl"
"t*CAA>CCA","t*CAA>CCA*wmis","t*CAA>CCA*wnon","t*CAA>CCA*wspl"
"t*CAA>CGA","t*CAA>CGA*wmis","t*CAA>CGA*wnon","t*CAA>CGA*wspl"
"t*CAA>CTA","t*CAA>CTA*wmis","t*CAA>CTA*wnon","t*CAA>CTA*wspl"
"t*CAC>CCC","t*CAC>CCC*wmis","t*CAC>CCC*wnon","t*CAC>CCC*wspl"
"t*CAC>CGC","t*CAC>CGC*wmis","t*CAC>CGC*wnon","t*CAC>CGC*wspl"
"t*CAC>CTC","t*CAC>CTC*wmis","t*CAC>CTC*wnon","t*CAC>CTC*wspl"
"t*CAG>CCG","t*CAG>CCG*wmis","t*CAG>CCG*wnon","t*CAG>CCG*wspl"
"t*CAG>CGG","t*CAG>CGG*wmis","t*CAG>CGG*wnon","t*CAG>CGG*wspl"
"t*CAG>CTG","t*CAG>CTG*wmis","t*CAG>CTG*wnon","t*CAG>CTG*wspl"
"t*CAT>CCT","t*CAT>CCT*wmis","t*CAT>CCT*wnon","t*CAT>CCT*wspl"
"t*CAT>CGT","t*CAT>CGT*wmis","t*CAT>CGT*wnon","t*CAT>CGT*wspl"
"t*CAT>CTT","t*CAT>CTT*wmis","t*CAT>CTT*wnon","t*CAT>CTT*wspl"
"t*CCA>CAA","t*CCA>CAA*wmis","t*CCA>CAA*wnon","t*CCA>CAA*wspl"
"t*CCA>CGA","t*CCA>CGA*wmis","t*CCA>CGA*wnon","t*CCA>CGA*wspl"
"t*CCA>CTA","t*CCA>CTA*wmis","t*CCA>CTA*wnon","t*CCA>CTA*wspl"
"t*CCC>CAC","t*CCC>CAC*wmis","t*CCC>CAC*wnon","t*CCC>CAC*wspl"
"t*CCC>CGC","t*CCC>CGC*wmis","t*CCC>CGC*wnon","t*CCC>CGC*wspl"
"t*CCC>CTC","t*CCC>CTC*wmis","t*CCC>CTC*wnon","t*CCC>CTC*wspl"
"t*CCG>CAG","t*CCG>CAG*wmis","t*CCG>CAG*wnon","t*CCG>CAG*wspl"
"t*CCG>CGG","t*CCG>CGG*wmis","t*CCG>CGG*wnon","t*CCG>CGG*wspl"
"t*CCG>CTG","t*CCG>CTG*wmis","t*CCG>CTG*wnon","t*CCG>CTG*wspl"
"t*CCT>CAT","t*CCT>CAT*wmis","t*CCT>CAT*wnon","t*CCT>CAT*wspl"
"t*CCT>CGT","t*CCT>CGT*wmis","t*CCT>CGT*wnon","t*CCT>CGT*wspl"
"t*CCT>CTT","t*CCT>CTT*wmis","t*CCT>CTT*wnon","t*CCT>CTT*wspl"
"t*CGA>CAA","t*CGA>CAA*wmis","t*CGA>CAA*wnon","t*CGA>CAA*wspl"
"t*CGA>CCA","t*CGA>CCA*wmis","t*CGA>CCA*wnon","t*CGA>CCA*wspl"
"t*CGA>CTA","t*CGA>CTA*wmis","t*CGA>CTA*wnon","t*CGA>CTA*wspl"
"t*CGC>CAC","t*CGC>CAC*wmis","t*CGC>CAC*wnon","t*CGC>CAC*wspl"
"t*CGC>CCC","t*CGC>CCC*wmis","t*CGC>CCC*wnon","t*CGC>CCC*wspl"
"t*CGC>CTC","t*CGC>CTC*wmis","t*CGC>CTC*wnon","t*CGC>CTC*wspl"
"t*CGG>CAG","t*CGG>CAG*wmis","t*CGG>CAG*wnon","t*CGG>CAG*wspl"
"t*CGG>CCG","t*CGG>CCG*wmis","t*CGG>CCG*wnon","t*CGG>CCG*wspl"
"t*CGG>CTG","t*CGG>CTG*wmis","t*CGG>CTG*wnon","t*CGG>CTG*wspl"
"t*CGT>CAT","t*CGT>CAT*wmis","t*CGT>CAT*wnon","t*CGT>CAT*wspl"
"t*CGT>CCT","t*CGT>CCT*wmis","t*CGT>CCT*wnon","t*CGT>CCT*wspl"
"t*CGT>CTT","t*CGT>CTT*wmis","t*CGT>CTT*wnon","t*CGT>CTT*wspl"
"t*CTA>CAA","t*CTA>CAA*wmis","t*CTA>CAA*wnon","t*CTA>CAA*wspl"
"t*CTA>CCA","t*CTA>CCA*wmis","t*CTA>CCA*wnon","t*CTA>CCA*wspl"
"t*CTA>CGA","t*CTA>CGA*wmis","t*CTA>CGA*wnon","t*CTA>CGA*wspl"
"t*CTC>CAC","t*CTC>CAC*wmis","t*CTC>CAC*wnon","t*CTC>CAC*wspl"
"t*CTC>CCC","t*CTC>CCC*wmis","t*CTC>CCC*wnon","t*CTC>CCC*wspl"
"t*CTC>CGC","t*CTC>CGC*wmis","t*CTC>CGC*wnon","t*CTC>CGC*wspl"
"t*CTG>CAG","t*CTG>CAG*wmis","t*CTG>CAG*wnon","t*CTG>CAG*wspl"
"t*CTG>CCG","t*CTG>CCG*wmis","t*CTG>CCG*wnon","t*CTG>CCG*wspl"
"t*CTG>CGG","t*CTG>CGG*wmis","t*CTG>CGG*wnon","t*CTG>CGG*wspl"
"t*CTT>CAT","t*CTT>CAT*wmis","t*CTT>CAT*wnon","t*CTT>CAT*wspl"
"t*CTT>CCT","t*CTT>CCT*wmis","t*CTT>CCT*wnon","t*CTT>CCT*wspl"
"t*CTT>CGT","t*CTT>CGT*wmis","t*CTT>CGT*wnon","t*CTT>CGT*wspl"
"t*GAA>GCA","t*GAA>GCA*wmis","t*GAA>GCA*wnon","t*GAA>GCA*wspl"
"t*GAA>GGA","t*GAA>GGA*wmis","t*GAA>GGA*wnon","t*GAA>GGA*wspl"
"t*GAA>GTA","t*GAA>GTA*wmis","t*GAA>GTA*wnon","t*GAA>GTA*wspl"
"t*GAC>GCC","t*GAC>GCC*wmis","t*GAC>GCC*wnon","t*GAC>GCC*wspl"
"t*GAC>GGC","t*GAC>GGC*wmis","t*GAC>GGC*wnon","t*GAC>GGC*wspl"
"t*GAC>GTC","t*GAC>GTC*wmis","t*GAC>GTC*wnon","t*GAC>GTC*wspl"
"t*GAG>GCG","t*GAG>GCG*wmis","t*GAG>GCG*wnon","t*GAG>GCG*wspl"
"t*GAG>GGG","t*GAG>GGG*wmis","t*GAG>GGG*wnon","t*GAG>GGG*wspl"
"t*GAG>GTG","t*GAG>GTG*wmis","t*GAG>GTG*wnon","t*GAG>GTG*wspl"
"t*GAT>GCT","t*GAT>GCT*wmis","t*GAT>GCT*wnon","t*GAT>GCT*wspl"
"t*GAT>GGT","t*GAT>GGT*wmis","t*GAT>GGT*wnon","t*GAT>GGT*wspl"
"t*GAT>GTT","t*GAT>GTT*wmis","t*GAT>GTT*wnon","t*GAT>GTT*wspl"
"t*GCA>GAA","t*GCA>GAA*wmis","t*GCA>GAA*wnon","t*GCA>GAA*wspl"
"t*GCA>GGA","t*GCA>GGA*wmis","t*GCA>GGA*wnon","t*GCA>GGA*wspl"
"t*GCA>GTA","t*GCA>GTA*wmis","t*GCA>GTA*wnon","t*GCA>GTA*wspl"
"t*GCC>GAC","t*GCC>GAC*wmis","t*GCC>GAC*wnon","t*GCC>GAC*wspl"
"t*GCC>GGC","t*GCC>GGC*wmis","t*GCC>GGC*wnon","t*GCC>GGC*wspl"
"t*GCC>GTC","t*GCC>GTC*wmis","t*GCC>GTC*wnon","t*GCC>GTC*wspl"
"t*GCG>GAG","t*GCG>GAG*wmis","t*GCG>GAG*wnon","t*GCG>GAG*wspl"
"t*GCG>GGG","t*GCG>GGG*wmis","t*GCG>GGG*wnon","t*GCG>GGG*wspl"
"t*GCG>GTG","t*GCG>GTG*wmis","t*GCG>GTG*wnon","t*GCG>GTG*wspl"
"t*GCT>GAT","t*GCT>GAT*wmis","t*GCT>GAT*wnon","t*GCT>GAT*wspl"
"t*GCT>GGT","t*GCT>GGT*wmis","t*GCT>GGT*wnon","t*GCT>GGT*wspl"
"t*GCT>GTT","t*GCT>GTT*wmis","t*GCT>GTT*wnon","t*GCT>GTT*wspl"
"t*GGA>GAA","t*GGA>GAA*wmis","t*GGA>GAA*wnon","t*GGA>GAA*wspl"
"t*GGA>GCA","t*GGA>GCA*wmis","t*GGA>GCA*wnon","t*GGA>GCA*wspl"
"t*GGA>GTA","t*GGA>GTA*wmis","t*GGA>GTA*wnon","t*GGA>GTA*wspl"
"t*GGC>GAC","t*GGC>GAC*wmis","t*GGC>GAC*wnon","t*GGC>GAC*wspl"
"t*GGC>GCC","t*GGC>GCC*wmis","t*GGC>GCC*wnon","t*GGC>GCC*wspl"
"t*GGC>GTC","t*GGC>GTC*wmis","t*GGC>GTC*wnon","t*GGC>GTC*wspl"
"t*GGG>GAG","t*GGG>GAG*wmis","t*GGG>GAG*wnon","t*GGG>GAG*wspl"
"t*GGG>GCG","t*GGG>GCG*wmis","t*GGG>GCG*wnon","t*GGG>GCG*wspl"
"t*GGG>GTG","t*GGG>GTG*wmis","t*GGG>GTG*wnon","t*GGG>GTG*wspl"
"t*GGT>GAT","t*GGT>GAT*wmis","t*GGT>GAT*wnon","t*GGT>GAT*wspl"
"t*GGT>GCT","t*GGT>GCT*wmis","t*GGT>GCT*wnon","t*GGT>GCT*wspl"
"t*GGT>GTT","t*GGT>GTT*wmis","t*GGT>GTT*wnon","t*GGT>GTT*wspl"
"t*GTA>GAA","t*GTA>GAA*wmis","t*GTA>GAA*wnon","t*GTA>GAA*wspl"
"t*GTA>GCA","t*GTA>GCA*wmis","t*GTA>GCA*wnon","t*GTA>GCA*wspl"
"t*GTA>GGA","t*GTA>GGA*wmis","t*GTA>GGA*wnon","t*GTA>GGA*wspl"
"t*GTC>GAC","t*GTC>GAC*wmis","t*GTC>GAC*wnon","t*GTC>GAC*wspl"
"t*GTC>GCC","t*GTC>GCC*wmis","t*GTC>GCC*wnon","t*GTC>GCC*wspl"
"t*GTC>GGC","t*GTC>GGC*wmis","t*GTC>GGC*wnon","t*GTC>GGC*wspl"
"t*GTG>GAG","t*GTG>GAG*wmis","t*GTG>GAG*wnon","t*GTG>GAG*wspl"
"t*GTG>GCG","t*GTG>GCG*wmis","t*GTG>GCG*wnon","t*GTG>GCG*wspl"
"t*GTG>GGG","t*GTG>GGG*wmis","t*GTG>GGG*wnon","t*GTG>GGG*wspl"
"t*GTT>GAT","t*GTT>GAT*wmis","t*GTT>GAT*wnon","t*GTT>GAT*wspl"
"t*GTT>GCT","t*GTT>GCT*wmis","t*GTT>GCT*wnon","t*GTT>GCT*wspl"
"t*GTT>GGT","t*GTT>GGT*wmis","t*GTT>GGT*wnon","t*GTT>GGT*wspl"
"t*TAA>TCA","t*TAA>TCA*wmis","t*TAA>TCA*wnon","t*TAA>TCA*wspl"
"t*TAA>TGA","t*TAA>TGA*wmis","t*TAA>TGA*wnon","t*TAA>TGA*wspl"
"t*TAA>TTA","t*TAA>TTA*wmis","t*TAA>TTA*wnon","t*TAA>TTA*wspl"
"t*TAC>TCC","t*TAC>TCC*wmis","t*TAC>TCC*wnon","t*TAC>TCC*wspl"
"t*TAC>TGC","t*TAC>TGC*wmis","t*TAC>TGC*wnon","t*TAC>TGC*wspl"
"t*TAC>TTC","t*TAC>TTC*wmis","t*TAC>TTC*wnon","t*TAC>TTC*wspl"
"t*TAG>TCG","t*TAG>TCG*wmis","t*TAG>TCG*wnon","t*TAG>TCG*wspl"
"t*TAG>TGG","t*TAG>TGG*wmis","t*TAG>TGG*wnon","t*TAG>TGG*wspl"
"t*TAG>TTG","t*TAG>TTG*wmis","t*TAG>TTG*wnon","t*TAG>TTG*wspl"
"t*TAT>TCT","t*TAT>TCT*wmis","t*TAT>TCT*wnon","t*TAT>TCT*wspl"
"t*TAT>TGT","t*TAT>TGT*wmis","t*TAT>TGT*wnon","t*TAT>TGT*wspl"
"t*TAT>TTT","t*TAT>TTT*wmis","t*TAT>TTT*wnon","t*TAT>TTT*wspl"
"t*TCA>TAA","t*TCA>TAA*wmis","t*TCA>TAA*wnon","t*TCA>TAA*wspl"
"t*TCA>TGA","t*TCA>TGA*wmis","t*TCA>TGA*wnon","t*TCA>TGA*wspl"
"t*TCA>TTA","t*TCA>TTA*wmis","t*TCA>TTA*wnon","t*TCA>TTA*wspl"
"t*TCC>TAC","t*TCC>TAC*wmis","t*TCC>TAC*wnon","t*TCC>TAC*wspl"
"t*TCC>TGC","t*TCC>TGC*wmis","t*TCC>TGC*wnon","t*TCC>TGC*wspl"
"t*TCC>TTC","t*TCC>TTC*wmis","t*TCC>TTC*wnon","t*TCC>TTC*wspl"
"t*TCG>TAG","t*TCG>TAG*wmis","t*TCG>TAG*wnon","t*TCG>TAG*wspl"
"t*TCG>TGG","t*TCG>TGG*wmis","t*TCG>TGG*wnon","t*TCG>TGG*wspl"
"t*TCG>TTG","t*TCG>TTG*wmis","t*TCG>TTG*wnon","t*TCG>TTG*wspl"
"t*TCT>TAT","t*TCT>TAT*wmis","t*TCT>TAT*wnon","t*TCT>TAT*wspl"
"t*TCT>TGT","t*TCT>TGT*wmis","t*TCT>TGT*wnon","t*TCT>TGT*wspl"
"t*TCT>TTT","t*TCT>TTT*wmis","t*TCT>TTT*wnon","t*TCT>TTT*wspl"
"t*TGA>TAA","t*TGA>TAA*wmis","t*TGA>TAA*wnon","t*TGA>TAA*wspl"
"t*TGA>TCA","t*TGA>TCA*wmis","t*TGA>TCA*wnon","t*TGA>TCA*wspl"
"t*TGA>TTA","t*TGA>TTA*wmis","t*TGA>TTA*wnon","t*TGA>TTA*wspl"
"t*TGC>TAC","t*TGC>TAC*wmis","t*TGC>TAC*wnon","t*TGC>TAC*wspl"
"t*TGC>TCC","t*TGC>TCC*wmis","t*TGC>TCC*wnon","t*TGC>TCC*wspl"
"t*TGC>TTC","t*TGC>TTC*wmis","t*TGC>TTC*wnon","t*TGC>TTC*wspl"
"t*TGG>TAG","t*TGG>TAG*wmis","t*TGG>TAG*wnon","t*TGG>TAG*wspl"
"t*TGG>TCG","t*TGG>TCG*wmis","t*TGG>TCG*wnon","t*TGG>TCG*wspl"
"t*TGG>TTG","t*TGG>TTG*wmis","t*TGG>TTG*wnon","t*TGG>TTG*wspl"
"t*TGT>TAT","t*TGT>TAT*wmis","t*TGT>TAT*wnon","t*TGT>TAT*wspl"
"t*TGT>TCT","t*TGT>TCT*wmis","t*TGT>TCT*wnon","t*TGT>TCT*wspl"
"t*TGT>TTT","t*TGT>TTT*wmis","t*TGT>TTT*wnon","t*TGT>TTT*wspl"
"t*TTA>TAA","t*TTA>TAA*wmis","t*TTA>TAA*wnon","t*TTA>TAA*wspl"
"t*TTA>TCA","t*TTA>TCA*wmis","t*TTA>TCA*wnon","t*TTA>TCA*wspl"
"t*TTA>TGA","t*TTA>TGA*wmis","t*TTA>TGA*wnon","t*TTA>TGA*wspl"
"t*TTC>TAC","t*TTC>TAC*wmis","t*TTC>TAC*wnon","t*TTC>TAC*wspl"
"t*TTC>TCC","t*TTC>TCC*wmis","t*TTC>TCC*wnon","t*TTC>TCC*wspl"
"t*TTC>TGC","t*TTC>TGC*wmis","t*TTC>TGC*wnon","t*TTC>TGC*wspl"
"t*TTG>TAG","t*TTG>TAG*wmis","t*TTG>TAG*wnon","t*TTG>TAG*wspl"
"t*TTG>TCG","t*TTG>TCG*wmis","t*TTG>TCG*wnon","t*TTG>TCG*wspl"
"t*TTG>TGG","t*TTG>TGG*wmis","t*TTG>TGG*wnon","t*TTG>TGG*wspl"
"t*TTT>TAT","t*TTT>TAT*wmis","t*TTT>TAT*wnon","t*TTT>TAT*wspl"
"t*TTT>TCT","t*TTT>TCT*wmis","t*TTT>TCT*wnon","t*TTT>TCT*wspl"
"t","t*wmis","t*wnon","t*wspl"
