"syn","mis","non","spl"
"t*AAA>ACA","t*AAA>ACA*wmis","t*AAA>ACA*wnon","t*AAA>ACA*wspl"
"t*AAA>AGA","t*AAA>AGA*wmis","t*AAA>AGA*wnon","t*AAA>AGA*wspl"
"t*AAA>ATA","t*AAA>ATA*wmis","t*AAA>ATA*wnon","t*AAA>ATA*wspl"
"t*AAC>ACC","t*AAC>ACC*wmis","t*AAC>ACC*wnon","t*AAC>ACC*wspl"
"t*AAC>AGC","t*AAC>AGC*wmis","t*AAC>AGC*wnon","t*AAC>AGC*wspl"
"t*AAC>ATC","t*AAC>ATC*wmis","t*AAC>ATC*wnon","t*AAC>ATC*wspl"
"t*AAG>ACG","t*AAG>ACG*wmis","t*AAG>ACG*wnon","t*AAG>ACG*wspl"
"t*AAG>AGG","t*AAG>AGG*wmis","t*AAG>AGG*wnon","t*AAG>AGG*wspl"
"t*AAG>ATG","t*AAG>ATG*wmis","t*AAG>ATG*wnon","t*AAG>ATG*wspl"
"t*AAT>ACT","t*AAT>ACT*wmis","t*AAT>ACT*wnon","t*AAT>ACT*wspl"
"t*AAT>AGT","t*AAT>AGT*wmis","t*AAT>AGT*wnon","t*AAT>AGT*wspl"
"t*AAT>ATT","t*AAT>ATT*wmis","t*AAT>ATT*wnon","t*AAT>ATT*wspl"
"t*ACA>AAA","t*ACA>AAA*wmis","t*ACA>AAA*wnon","t*ACA>AAA*wspl"
"t*ACA>AGA","t*ACA>AGA*wmis","t*ACA>AGA*wnon","t*ACA>AGA*wspl"
"t*ACA>ATA","t*ACA>ATA*wmis","t*ACA>ATA*wnon","t*ACA>ATA*wspl"
"t*ACC>AAC","t*ACC>AAC*wmis","t*ACC>AAC*wnon","t*ACC>AAC*wspl"
"t*ACC>AGC","t*ACC>AGC*wmis","t*ACC>AGC*wnon","t*ACC>AGC*wspl"
"t*ACC>ATC","t*ACC>ATC*wmis","t*ACC>ATC*wnon","t*ACC>ATC*wspl"
"t*ACG>AAG","t*ACG>AAG*wmis","t*ACG>AAG*wnon","t*ACG>AAG*wspl"
"t*ACG>AGG","t*ACG>AGG*wmis","t*ACG>AGG*wnon","t*ACG>AGG*wspl"
"t*ACG>ATG","t*ACG>ATG*wmis","t*ACG>ATG*wnon","t*ACG>ATG*wspl"
"t*ACT>AAT","t*ACT>AAT*wmis","t*ACT>AAT*wnon","t*ACT>AAT*wspl"
"t*ACT>AGT","t*ACT>AGT*wmis","t*ACT>AGT*wnon","t*ACT>AGT*wspl"
"t*ACT>ATT","t*ACT>ATT*wmis","t*ACT>ATT*wnon","t*ACT>ATT*wspl"
"t*AGA>AAA","t*AGA>AAA*wmis","t*AGA>AAA*wnon","t*AGA>AAA*wspl"
"t*AGA>ACA","t*AGA>ACA*wmis","t*AGA>ACA*wnon","t*AGA>ACA*wspl"
